1,FEC ID,STATE,STATE ABBREVIATION,GENERAL ELECTION DATE,FIRST NAME,LAST NAME,"LAST NAME,  FIRST",TOTAL VOTES,PARTY,GENERAL RESULTS,TOTAL VOTES #,GENERAL %,,,,
107,n/a,Georgia,GA,11/4/08,Frank,Moore,"Moore, Frank",,W,6,,0.00%,,,,
108,n/a,Georgia,GA,11/4/08,David C.,Byrne,"Byrne, David C.",,W,4,,0.00%,,,,
109,n/a,Georgia,GA,11/4/08,Brian Russell,Brown,"Brown, Brian Russell",,W,2,,0.00%,,,,
110,n/a,Georgia,GA,11/4/08,,,,Total State Votes: ,,"3,924,486","3,924,486",,,,,
111,P80003338,Hawaii,HI,11/4/08,Barack,Obama,"Obama, Barack",,D,"325,871",,71.85%,,,,
112,P80002801,Hawaii,HI,11/4/08,John,McCain,"McCain, John",,R,"120,566",,26.58%,,,,
113,P20000527,Hawaii,HI,11/4/08,Ralph,Nader,"Nader, Ralph",,I,"3,825",,0.84%,,,,
114,P80005580,Hawaii,HI,11/4/08,Bob,Barr,"Barr, Bob",,LBT,"1,314",,0.29%,,,,
115,P80005499,Hawaii,HI,11/4/08,Chuck,Baldwin,"Baldwin, Chuck",,CON,"1,013",,0.22%,,,,
116,P80004930,Hawaii,HI,11/4/08,Cynthia,McKinney,"McKinney, Cynthia",,GRE,979,,0.22%,,,,
117,n/a,Hawaii,HI,11/4/08,,,,Total State Votes: ,,"453,568","453,568",,,,,
118,P80002801,Idaho,ID,11/4/08,John,McCain,"McCain, John",,R,"403,012",,61.52%,,,,
119,P80003338,Idaho,ID,11/4/08,Barack,Obama,"Obama, Barack",,D,"236,440",,36.09%,,,,
120,P20000527,Idaho,ID,11/4/08,Ralph,Nader,"Nader, Ralph",,I,"7,175",,1.10%,,,,
121,P80005499,Idaho,ID,11/4/08,Chuck,Baldwin,"Baldwin, Chuck",,CON,"4,747",,0.72%,,,,
122,P80005580,Idaho,ID,11/4/08,Bob,Barr,"Barr, Bob",,LBT,"3,658",,0.56%,,,,
123,P60003076,Idaho,ID,11/4/08,Alan,Keyes,"Keyes, Alan",,W,40,,0.01%,,,,
124,P80004930,Idaho,ID,11/4/08,Cynthia,McKinney,"McKinney, Cynthia",,W,39,,0.01%,,,,
125,n/a,Idaho,ID,11/4/08,Santa,Claus,"Claus, Santa",,W,6,,0.00%,,,,
126,P80005275,Idaho,ID,11/4/08,Brian,Moore,"Moore, Brian",,W,3,,0.00%,,,,
127,n/a,Idaho,ID,11/4/08,Lawson Mitchell,Bone,"Bone, Lawson Mitchell",,W,1,,0.00%,,,,
128,n/a,Idaho,ID,11/4/08,Reverend,MerePeace-MsMere,Reverend MerePeace-MsMere,,W,1,,0.00%,,,,
129,n/a,Idaho,ID,11/4/08,,,,Total State Votes: ,,"655,122","655,122",,,,,
130,P80003338,Illinois,IL,11/4/08,Barack,Obama,"Obama, Barack",,D,"3,419,348",,61.92%,,,,
131,P80002801,Illinois,IL,11/4/08,John,McCain,"McCain, John",,R,"2,031,179",,36.78%,,,,
132,P20000527,Illinois,IL,11/4/08,Ralph,Nader,"Nader, Ralph",,I,"30,948",,0.56%,,,,
133,P80005580,Illinois,IL,11/4/08,Bob,Barr,"Barr, Bob",,LBT,"19,642",,0.36%,,,,
134,P80004930,Illinois,IL,11/4/08,Cynthia,McKinney,"McKinney, Cynthia",,GRE,"11,838",,0.21%,,,,
135,P80005499,Illinois,IL,11/4/08,Charles O.,Baldwin,"Baldwin, Charles O.",,CPI,"8,256",,0.15%,,,,
136,n/a,Illinois,IL,11/4/08,John Joseph,Polachek,"Polachek, John Joseph",,NEW,"1,149",,0.02%,,,,
137,n/a,Illinois,IL,11/4/08,Ronald G.,Hobbs,"Hobbs, Ronald G.",,W,4,,0.00%,,,,
138,P80003528,Illinois,IL,11/4/08,Donald K.,Allen,"Allen, Donald K.",,W,3,,0.00%,,,,
139,n/a,Illinois,IL,11/4/08,Frank James,Moore,"Moore, Frank James",,W,3,,0.00%,,,,
140,P80000748,Illinois,IL,11/4/08,Ron,Paul,"Paul, Ron",,W,1,,0.00%,,,,
141,n/a,Illinois,IL,11/4/08,,,,Total State Votes: ,,"5,522,371","5,522,371",,,,,
142,P80003338,Indiana,IN,11/4/08,Barack,Obama,"Obama, Barack",,D,"1,374,039",,49.95%,,,,
143,P80002801,Indiana,IN,11/4/08,John,McCain,"McCain, John",,R,"1,345,648",,48.91%,,,,
144,P80005580,Indiana,IN,11/4/08,Bob,Barr,"Barr, Bob",,LBT,"29,257",,1.06%,,,,
145,P80005499,Indiana,IN,11/4/08,Chuck,Baldwin,"Baldwin, Chuck",,W,"1,024",,0.04%,,,,
146,P20000527,Indiana,IN,11/4/08,Ralph,Nader,"Nader, Ralph",,W,909,,0.03%,,,,
147,P80004930,Indiana,IN,11/4/08,Cynthia,McKinney,"McKinney, Cynthia",,W,87,,0.00%,,,,
148,P80005523,Indiana,IN,11/4/08,Darrell L.,Castle,"Castle, Darrell L.",,W,51,,0.00%,,,,
149,P80005275,Indiana,IN,11/4/08,Brian,Moore,"Moore, Brian",,W,14,,0.00%,,,,
150,n/a,Indiana,IN,11/4/08,Michael L.,Faith,"Faith, Michael L.",,W,12,,0.00%,,,,
151,n/a,Indiana,IN,11/4/08,Kevin,Mottus,"Mottus, Kevin",,W,9,,0.00%,,,,
152,n/a,Indiana,IN,11/4/08,Lawson Mitchell,Bone,"Bone, Lawson Mitchell",,W,2,,0.00%,,,,
153,n/a,Indiana,IN,11/4/08,"""Lou""",Kujawski,"Kujawski, ""Lou""",,W,1,,0.00%,,,,
154,n/a,Indiana,IN,11/4/08,John Leroy,Plemons,"Plemons, John Leroy",,W,1,,0.00%,,,,
155,n/a,Indiana,IN,11/4/08,,,,Total State Votes: ,,"2,751,054","2,751,054",,,,,
156,P80003338,Iowa,IA,11/4/08,Barack,Obama,"Obama, Barack",,D,"828,940",,53.93%,,,,
157,P80002801,Iowa,IA,11/4/08,John,McCain,"McCain, John",,R,"682,379",,44.39%,,,,
