1,FEC ID,STATE,STATE ABBREVIATION,GENERAL ELECTION DATE,FIRST NAME,LAST NAME,"LAST NAME,  FIRST",TOTAL VOTES,PARTY,GENERAL RESULTS,TOTAL VOTES #,GENERAL %,,,,
57,P60004454,Colorado,CO,11/4/08,James,Harris,"Harris, James",,SWP,154,,0.01%,,,,
58,n/a,Colorado,CO,11/4/08,Bradford,Lyttle,"Lyttle, Bradford",,USP,110,,0.00%,,,,
59,n/a,Colorado,CO,11/4/08,Gene C.,Amondson,"Amondson, Gene C.",,P,85,,0.00%,,,,
60,n/a,Colorado,CO,11/8/08,,,,Total State Votes: ,,"2,401,462","2,401,462",,,,,
61,P80003338,Connecticut,CT,11/4/08,Barack,Obama,"Obama, Barack",,D,"997,772",,60.59%,,,,
62,P80002801,Connecticut,CT,11/4/08,John,McCain,"McCain, John",,R,"629,428",,38.22%,,,,
63,P20000527,Connecticut,CT,11/4/08,Ralph,Nader,"Nader, Ralph",,I,"19,162",,1.16%,,,,
64,P80005499,Connecticut,CT,11/4/08,Chuck,Baldwin,"Baldwin, Chuck",,W,311,,0.02%,,,,
65,P80004930,Connecticut,CT,11/4/08,Cynthia,McKinney,"McKinney, Cynthia",,W,90,,0.01%,,,,
66,P80005275,Connecticut,CT,11/4/08,Brian,Moore,"Moore, Brian",,W,19,,0.00%,,,,
67,P80005481,Connecticut,CT,11/4/08,Roger,Calero,"Calero, Roger",,W,15,,0.00%,,,,
68,n/a,Connecticut,CT,11/4/08,,,,Total State Votes: ,,"1,646,797","1,646,797",,,,,
69,P80003338,Delaware,DE,11/4/08,Barack,Obama,"Obama, Barack",,D,"255,459",,61.94%,,,,
70,P80002801,Delaware,DE,11/4/08,John,McCain,"McCain, John",,R,"152,374",,36.95%,,,,
71,P20000527,Delaware,DE,11/4/08,Ralph,Nader,"Nader, Ralph",,IDE,"2,401",,0.58%,,,,
72,P80005580,Delaware,DE,11/4/08,Bob,Barr,"Barr, Bob",,LBT,"1,109",,0.27%,,,,
73,P80005499,Delaware,DE,11/4/08,Chuck,Baldwin,"Baldwin, Chuck",,CON,626,,0.15%,,,,
74,P80004930,Delaware,DE,11/4/08,Cynthia A.,McKinney,"McKinney, Cynthia A.",,GRE,385,,0.09%,,,,
75,P80005481,Delaware,DE,11/4/08,Roger,Calero,"Calero, Roger",,SWP,58,,0.01%,,,,
76,n/a,Delaware,DE,11/5/08,,,,Total State Votes: ,,"412,412","412,412",,,,,
77,P80003338,District of Columbia,DC,11/4/08,Barack,Obama,"Obama, Barack",,D,"245,800",,92.46%,,,,
78,P80002801,District of Columbia,DC,11/4/08,John,McCain,"McCain, John",,R,"17,367",,6.53%,,,,
79,n/a,District of Columbia,DC,11/4/08,,Scattered,Scattered ,,W,"1,138",,0.43%,,,,
80,P20000527,District of Columbia,DC,11/4/08,Ralph,Nader,"Nader, Ralph",,I,958,,0.36%,,,,
81,P80004930,District of Columbia,DC,11/4/08,Cynthia,McKinney,"McKinney, Cynthia",,DCG,590,,0.22%,,,,
82,n/a,District of Columbia,DC,11/4/08,,,,Total State Votes: ,,"265,853","265,853",,,,,
83,P80003338,Florida,FL,11/4/08,Barack,Obama,"Obama, Barack",,D,"4,282,074",,51.03%,,,,
84,P80002801,Florida,FL,11/4/08,John,McCain,"McCain, John",,R,"4,045,624",,48.22%,,,,
85,P20000527,Florida,FL,11/4/08,Ralph,Nader,"Nader, Ralph",,ECO,"28,124",,0.34%,,,,
86,P80005580,Florida,FL,11/4/08,Bob,Barr,"Barr, Bob",,LBF,"17,218",,0.21%,,,,
87,P80005499,Florida,FL,11/4/08,Chuck,Baldwin,"Baldwin, Chuck",,CPF,"7,915",,0.09%,,,,
88,P80004930,Florida,FL,11/4/08,Cynthia,McKinney,"McKinney, Cynthia",,GPF,"2,887",,0.03%,,,,
89,P60003076,Florida,FL,11/4/08,Alan,Keyes,"Keyes, Alan",,AIF,"2,550",,0.03%,,,,
90,P80005572,Florida,FL,11/4/08,Gloria,La Riva,"La Riva, Gloria",,FSL,"1,516",,0.02%,,,,
91,n/a,Florida,FL,11/4/08,Charles,Jay,"Jay, Charles",,BTP,795,,0.01%,,,,
92,P60004454,Florida,FL,11/4/08,James,Harris,"Harris, James",,FSW,533,,0.01%,,,,
93,P80005655,Florida,FL,11/4/08,Thomas Robert,Stevens,"Stevens, Thomas Robert",,OBF,419,,0.00%,,,,
94,P80005275,Florida,FL,11/4/08,Brian,Moore,"Moore, Brian",,SFL,405,,0.00%,,,,
95,n/a,Florida,FL,11/4/08,Gary,Nettles,"Nettles, Gary",,W,391,,0.00%,,,,
96,n/a,Florida,FL,11/4/08,Gene,Amondson,"Amondson, Gene",,P,293,,0.00%,,,,
97,n/a,Florida,FL,11/4/08,,,,Total State Votes: ,,"8,390,744","8,390,744",,,,,
98,P80002801,Georgia,GA,11/4/08,John,McCain,"McCain, John",,R,"2,048,759",,52.20%,,,,
99,P80003338,Georgia,GA,11/4/08,Barack,Obama,"Obama, Barack",,D,"1,844,123",,46.99%,,,,
100,P80005580,Georgia,GA,11/4/08,Bob,Barr,"Barr, Bob",,LBT,"28,731",,0.73%,,,,
101,P80005499,Georgia,GA,11/4/08,Chuck,Baldwin,"Baldwin, Chuck",,W,"1,402",,0.04%,,,,
102,P20000527,Georgia,GA,11/4/08,Ralph,Nader,"Nader, Ralph",,W,"1,158",,0.03%,,,,
103,P80004930,Georgia,GA,11/4/08,Cynthia,McKinney,"McKinney, Cynthia",,W,250,,0.01%,,,,
104,n/a,Georgia,GA,11/4/08,Michael A.,Peroutka,"Peroutka, Michael A.",,W,23,,0.00%,,,,
105,P60004454,Georgia,GA,11/4/08,James,Harris,"Harris, James",,W,20,,0.00%,,,,
106,P80005119,Georgia,GA,11/4/08,Jonathan,Allen,"Allen, Jonathan",,W,8,,0.00%,,,,
